trip_id,stop_sequence,stop_id,arrival_time,departure_time
YB2242-20240916-20240930-0011111,1,CXH,17:35:00,17:35:00
YB2242-20240429-20240915-1111111,0,YWH,17:00:00,17:00:00
YB2242-20240429-20240915-1111111,1,CXH,17:35:00,17:35:00
YB2244-20240916-20240930-0000111,0,YWH,17:05:00,17:05:00
YB2244-20240916-20240930-0000111,1,CXH,17:40:00,17:40:00
YB2244-20240429-20240915-0001101,0,YWH,17:05:00,17:05:00
YB2244-20240429-20240915-0001101,1,CXH,17:40:00,17:40:00
YB2246-20240429-20240915-1111011,0,YWH,17:10:00,17:10:00
YB2246-20240429-20240915-1111011,1,CXH,17:45:00,17:45:00
YB2254-20240916-20240930-0001111,0,YWH,17:30:00,17:30:00
YB2254-20240916-20240930-0001111,1,CXH,18:05:00,18:05:00
YB2256-20240916-20240930-0000111,0,YWH,17:35:00,17:35:00
YB2256-20240916-20240930-0000111,1,CXH,18:10:00,18:10:00
YB2258-20240916-20240930-1111111,0,YWH,17:40:00,17:40:00
YB2258-20240916-20240930-1111111,1,CXH,18:15:00,18:15:00
YB2260-20240429-20240915-0001111,0,YWH,17:45:00,17:45:00
YB2260-20240429-20240915-0001111,1,CXH,18:20:00,18:20:00
YB2260-20240916-20240930-1111111,0,YWH,17:45:00,17:45:00
YB2260-20240916-20240930-1111111,1,CXH,18:20:00,18:20:00
YB2262-20240916-20240930-1111111,0,YWH,17:50:00,17:50:00
YB2262-20240916-20240930-1111111,1,CXH,18:25:00,18:25:00
YB2264-20240429-20240915-1110000,0,YWH,17:55:00,17:55:00
YB2264-20240429-20240915-1110000,1,CXH,18:30:00,18:30:00
YB2264-20240916-20240930-1111111,0,YWH,17:55:00,17:55:00
YB2264-20240916-20240930-1111111,1,CXH,18:30:00,18:30:00
YB2266-20240429-20240915-0001111,0,YWH,18:00:00,18:00:00
YB2266-20240429-20240915-0001111,1,CXH,18:35:00,18:35:00
YB2266-20240916-20240930-1111111,0,YWH,18:00:00,18:00:00
YB2266-20240916-20240930-1111111,1,CXH,18:35:00,18:35:00
YB2268-20240916-20240930-0000011,0,YWH,18:05:00,18:05:00
YB2268-20240916-20240930-0000011,1,CXH,18:40:00,18:40:00
YB2270-20240429-20240531-0000100,0,YWH,18:10:00,18:10:00
YB2270-20240429-20240531-0000100,1,CXH,18:45:00,18:45:00
YB2270-20240601-20240902-0000111,0,YWH,18:10:00,18:10:00
YB2270-20240601-20240902-0000111,1,CXH,18:45:00,18:45:00
YB2272-20240429-20240915-0000111,0,YWH,18:15:00,18:15:00
YB2272-20240429-20240915-0000111,1,CXH,18:50:00,18:50:00
YB2274-20240429-20240915-0000011,0,YWH,18:20:00,18:20:00
YB2274-20240429-20240915-0000011,1,CXH,18:55:00,18:55:00
YB2278-20240429-20240915-1111111,0,YWH,18:30:00,18:30:00
YB2278-20240429-20240915-1111111,1,CXH,19:05:00,19:05:00
YB2282-20240628-20240915-1110000,0,YWH,18:40:00,18:40:00
